id,title,filename,mime,width,height,alt,caption,url
1325,placeholder.png,placeholder-67.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-67.png
1327,placeholder.png,placeholder-68.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-68.png
1329,placeholder.png,placeholder-69.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-69.png
1331,placeholder.png,placeholder-70.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-70.png
1333,placeholder.png,placeholder-71.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-71.png
1335,placeholder.png,placeholder-72.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-72.png
1337,placeholder.png,placeholder-73.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-73.png
1339,placeholder.png,placeholder-74.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-74.png
1341,placeholder.png,placeholder-75.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-75.png
1343,placeholder.png,placeholder-76.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-76.png
1345,placeholder.png,placeholder-77.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-77.png
1347,placeholder.png,placeholder-78.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-78.png
1349,placeholder.png,placeholder-79.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-79.png
1351,placeholder.png,placeholder-80.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-80.png
1353,placeholder.png,placeholder-81.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-81.png
1355,placeholder.png,placeholder-82.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-82.png
1357,placeholder.png,placeholder-83.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-83.png
1359,placeholder.png,placeholder-84.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-84.png
1361,placeholder.png,placeholder-85.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-85.png
1363,placeholder.png,placeholder-86.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-86.png
1365,placeholder.png,placeholder-87.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-87.png
1367,placeholder.png,placeholder-88.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-88.png
1369,placeholder.png,placeholder-89.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-89.png
1371,placeholder.png,placeholder-90.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-90.png
1373,placeholder.png,placeholder-91.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-91.png
1375,placeholder.png,placeholder-92.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-92.png
1377,placeholder.png,placeholder-93.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-93.png
1379,placeholder.png,placeholder-94.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-94.png
1381,placeholder.png,placeholder-95.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-95.png
1383,placeholder.png,placeholder-96.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-96.png
1385,placeholder.png,placeholder-97.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-97.png
1397,InzovuMall-footer,InzovuMall-footer.png,image/png,122,45,,,https://www.inzovumall.com/wp-content/uploads/2025/03/InzovuMall-footer.png
1399,fav,fav.png,image/png,85,85,,,https://www.inzovumall.com/wp-content/uploads/2025/03/fav.png
1401,header-acces,header-acces.jpg,image/jpeg,2000,477,,,https://www.inzovumall.com/wp-content/uploads/2025/03/header-acces.jpg
1403,header-affaires,header-affaires.jpg,image/jpeg,2000,475,,,https://www.inzovumall.com/wp-content/uploads/2025/03/header-affaires.jpg
1405,header-commerces,header-commerces.jpg,image/jpeg,2000,475,,,https://www.inzovumall.com/wp-content/uploads/2025/03/header-commerces.jpg
1407,header-home,header-home.jpg,image/jpeg,2000,903,,,https://www.inzovumall.com/wp-content/uploads/2025/03/header-home.jpg
1409,header-loisirs,header-loisirs.jpg,image/jpeg,2000,475,,,https://www.inzovumall.com/wp-content/uploads/2025/03/header-loisirs.jpg
1411,header-projet,header-projet.jpg,image/jpeg,2000,476,,,https://www.inzovumall.com/wp-content/uploads/2025/03/header-projet.jpg
1413,header-restauration,header-restauration.jpg,image/jpeg,2000,475,,,https://www.inzovumall.com/wp-content/uploads/2025/03/header-restauration.jpg
1415,header-tourisme,header-tourisme.jpg,image/jpeg,2000,475,,,https://www.inzovumall.com/wp-content/uploads/2025/03/header-tourisme.jpg
1499,01,01.jpg,image/jpeg,213,35,,,https://www.inzovumall.com/wp-content/uploads/2025/12/01.jpg
1501,02,02.jpg,image/jpeg,278,39,,,https://www.inzovumall.com/wp-content/uploads/2025/12/02.jpg
1503,03,03.jpg,image/jpeg,236,63,,,https://www.inzovumall.com/wp-content/uploads/2025/12/03.jpg
1505,04,04.jpg,image/jpeg,197,69,,,https://www.inzovumall.com/wp-content/uploads/2025/12/04.jpg
1507,05,05.jpg,image/jpeg,166,83,,,https://www.inzovumall.com/wp-content/uploads/2025/12/05.jpg
1509,06,06.jpg,image/jpeg,218,107,,,https://www.inzovumall.com/wp-content/uploads/2025/12/06.jpg
1511,07,07.jpg,image/jpeg,228,43,,,https://www.inzovumall.com/wp-content/uploads/2025/12/07.jpg
1513,08,08.jpg,image/jpeg,176,74,,,https://www.inzovumall.com/wp-content/uploads/2025/12/08.jpg
1649,Logo Inzovu,Logo-Inzovu.svg,image/svg+xml,431,158,,,https://www.inzovumall.com/wp-content/uploads/2026/05/Logo-Inzovu.svg
1711,projet1,projet1.jpg,image/jpeg,1300,731,,,https://www.inzovumall.com/wp-content/uploads/2026/05/projet1.jpg
1713,projet2,projet2.jpg,image/jpeg,1300,731,,,https://www.inzovumall.com/wp-content/uploads/2026/05/projet2.jpg
1715,projet3,projet3.jpg,image/jpeg,1300,731,,,https://www.inzovumall.com/wp-content/uploads/2026/05/projet3.jpg
1717,projet4,projet4.jpg,image/jpeg,1300,731,,,https://www.inzovumall.com/wp-content/uploads/2026/05/projet4.jpg
1719,projet5,projet5.jpg,image/jpeg,1300,731,,,https://www.inzovumall.com/wp-content/uploads/2026/05/projet5.jpg
1721,projet6,projet6.jpg,image/jpeg,1300,732,,,https://www.inzovumall.com/wp-content/uploads/2026/05/projet6.jpg
1737,Invozu,,video/mp4,1920,1080,,<p>https://www.inzovumall.com/wp-content/uploads/2026/05/Invozu.mp4</p> ,https://www.inzovumall.com/wp-content/uploads/2026/05/Invozu.mp4
1745,commerces1,commerces1.jpg,image/jpeg,1300,731,,,https://www.inzovumall.com/wp-content/uploads/2026/05/commerces1.jpg
1747,commerces2,commerces2.jpg,image/jpeg,1300,731,,,https://www.inzovumall.com/wp-content/uploads/2026/05/commerces2.jpg
1749,commerces3,commerces3.jpg,image/jpeg,1300,730,,,https://www.inzovumall.com/wp-content/uploads/2026/05/commerces3.jpg
1757,affaires1,affaires1.jpg,image/jpeg,1300,731,,,https://www.inzovumall.com/wp-content/uploads/2026/05/affaires1.jpg
